二级目录                                                       大小
--------------------------------------------------------------
Local/Packages                                        8.04 GB
Local/pip                                             5.29 GB
Local/Programs                                        3.11 GB
Local/Microsoft                                       2.60 GB
Local/MathWorks                                       2.32 GB
Local/JetBrains                                       2.01 GB
Roaming/Godot                                         1.90 GB
LocalLow/NVIDIA                                       1.54 GB
Roaming/Tencent                                       1.50 GB
Roaming/Code                                          1.42 GB
Local/Huawei                                          1.18 GB
Local/OpenHarmony                                  1002.50 MB
Local/NVIDIA                                        924.44 MB
Local/Godot                                         813.27 MB
Roaming/Microsoft                                   691.16 MB
Local/OfficePLUS                                    655.98 MB
Roaming/Huawei                                      590.69 MB
Roaming/.minecraft                                  588.46 MB
Local/Steam                                         510.96 MB
Local/Quark                                         503.22 MB
Local/ArkUI-X                                       469.44 MB
Roaming/Troxbox Publish                             461.03 MB
Local/Temp                                          382.28 MB
LocalLow/Hypergryph                                 378.61 MB
Local/Tencent                                       361.46 MB
Local/Netease                                       329.78 MB
LocalLow/ZAUM Studio                                320.47 MB
Local/PlatformProcess                               271.63 MB
Local/cherrystudio-updater                          265.68 MB
Local/quark-cloud-drive-updater                     261.05 MB
Local/FeverGames                                    241.38 MB
Local/CrashDumps                                    237.53 MB
LocalLow/Ludeon Studios                             232.55 MB
Roaming/bilibili                                    201.99 MB
Roaming/CherryStudio                                181.04 MB
Local/NuGet                                         147.09 MB
LocalLow/Mobius Digital                             144.06 MB
Local/NVIDIA Corporation                            139.25 MB
Local/chemdrawcollections-updater                   132.08 MB
Local/un.un.clashrev                                129.54 MB
LocalLow/Massive Monster                            127.12 MB
Local/qq-chat-updater                               115.95 MB
Roaming/SlayTheSpire2                               108.64 MB
Roaming/NoteExpress                                 104.02 MB
Roaming/WPFLauncher                                 103.70 MB
Local/feimaoyun_pc-updater                           93.76 MB
Local/Downloaded Installations                       74.40 MB
Local/Games                                          70.46 MB
LocalLow/Nolla_Games_Noita                           68.87 MB
Local/com.pvzge.app                                  60.49 MB
Roaming/QQ                                           58.25 MB
Local/Package Cache                                  53.78 MB
Local/QuarkUpdater                                   47.69 MB
Local/Electronic Arts                                40.60 MB
Local/Lenovo                                         37.15 MB
Roaming/StardewValley                                35.96 MB
Roaming/BakaXL                                       34.18 MB
Local/gephi                                          31.59 MB
Local/Epic Games                                     31.35 MB
Local/EpicGamesLauncher                              28.72 MB
Roaming/un.un.clashrev                               28.51 MB
LocalLow/Pengonauts                                  26.34 MB
Local/assembly                                       24.70 MB
LocalLow/Team Cherry                                 23.78 MB
Roaming/quark-cloud-drive                            23.27 MB
Roaming/Cursor                                       23.18 MB
Local/Comms                                          21.71 MB
LocalLow/Unity                                       21.59 MB
Local/CEF                                            20.68 MB
Local/.i18nupdatemod                                 19.55 MB
Local/pypa                                           19.17 MB
Local/D3DSCache                                      16.21 MB
LocalLow/CampoSanto                                  14.16 MB
LocalLow/ManduPod                                    14.03 MB
Roaming/Paradox Interactive                          13.93 MB
LocalLow/Microsoft                                   13.31 MB
Roaming/Netease                                      12.04 MB
Local/rmmz-game                                      11.77 MB
Roaming/Lenovo                                       10.67 MB
LocalLow/niceplay games                               9.88 MB
Local/Paradox Interactive                             9.70 MB
Local/npm-cache                                       9.26 MB
Local/ConnectedDevicesPlatform                        8.78 MB
Roaming/Adobe                                         6.09 MB
Local/Siv3D                                           5.96 MB
Roaming/xlgame                                        5.68 MB
Roaming/.anaconda                                     5.66 MB
Local/AMD                                             5.23 MB
Local/Pal                                             4.33 MB
Roaming/Glaiel Games                                  3.57 MB
Roaming/utForpc                                       3.34 MB
Local/EscapeTheBackrooms                              3.18 MB
